Timestamp,Frequency,SNR,Peak,Floor
2024-04-05 11:28:39.785,103500000,7.19,-38.35,-45.53
2024-04-05 11:28:39.894,103500000,7.17,-38.39,-45.56
2024-04-05 11:28:40.001,103500000,8.33,-37.3,-45.63
2024-04-05 11:28:40.111,103500000,8.38,-37.21,-45.6
2024-04-05 11:28:40.223,103500000,8.32,-37.28,-45.6
2024-04-05 11:28:40.329,103500000,8.18,-37.38,-45.56
2024-04-05 11:28:40.440,103500000,8.12,-37.47,-45.59
2024-04-05 11:28:40.548,103500000,8.16,-37.52,-45.68
2024-04-05 11:28:40.659,103500000,8.07,-37.61,-45.68
2024-04-05 11:28:40.768,103500000,7.95,-37.68,-45.63
2024-04-05 11:28:40.876,103500000,7.88,-37.76,-45.64
2024-04-05 11:28:40.988,103500000,7.83,-37.83,-45.65
2024-04-05 11:28:41.095,103500000,7.79,-37.87,-45.67
2024-04-05 11:28:41.202,103500000,7.72,-37.95,-45.66
2024-04-05 11:28:41.327,103500000,7.8,-37.79,-45.59
2024-04-05 11:28:41.422,103500000,7.69,-37.86,-45.56
2024-04-05 11:28:41.534,103500000,7.5,-37.95,-45.45
2024-04-05 11:28:41.640,103500000,7.56,-37.76,-45.33
2024-04-05 11:28:41.761,103500000,7.55,-37.74,-45.29
2024-04-05 11:28:41.873,103500000,7.5,-37.79,-45.29
2024-04-05 11:28:41.979,103500000,7.39,-37.89,-45.28
2024-04-05 11:28:42.091,103500000,7.31,-37.98,-45.29
2024-04-05 11:28:42.199,103500000,7.26,-38.05,-45.31
2024-04-05 11:28:42.308,103500000,7.21,-38.11,-45.32
2024-04-05 11:28:42.420,103500000,7.23,-38.16,-45.39
2024-04-05 11:28:42.516,103500000,7.25,-38.17,-45.42
2024-04-05 11:28:42.639,103500000,7.12,-38.28,-45.39
2024-04-05 11:28:42.762,103500000,7.12,-38.35,-45.47
2024-04-05 11:28:42.868,103500000,7.07,-38.42,-45.5
2024-04-05 11:28:42.977,103500000,7.02,-38.48,-45.5
2024-04-05 11:28:43.085,103500000,7.12,-38.39,-45.52
2024-04-05 11:28:43.196,103500000,7.05,-38.44,-45.49
2024-04-05 11:28:43.307,103500000,6.98,-38.49,-45.47
2024-04-05 11:28:43.413,103500000,6.92,-38.56,-45.47
2024-04-05 11:28:43.523,103500000,6.95,-38.61,-45.56
2024-04-05 11:28:43.632,103500000,6.97,-38.64,-45.61
2024-04-05 11:28:43.742,103500000,7.27,-38.39,-45.66
2024-04-05 11:28:43.852,103500000,7.61,-38.08,-45.69
2024-04-05 11:28:43.963,103500000,7.56,-38.1,-45.66
2024-04-05 11:28:44.072,103500000,7.62,-38,-45.61
2024-04-05 11:28:44.179,103500000,7.56,-38.04,-45.59
2024-04-05 11:28:44.286,103500000,7.54,-38.06,-45.6
2024-04-05 11:28:44.396,103500000,7.5,-38.11,-45.61
2024-04-05 11:28:44.505,103500000,7.48,-38.14,-45.63
2024-04-05 11:28:44.613,103500000,7.51,-38.18,-45.69
2024-04-05 11:28:44.724,103500000,7.52,-38.24,-45.76
2024-04-05 11:28:44.833,103500000,7.97,-37.86,-45.83
2024-04-05 11:28:44.941,103500000,8.86,-36.98,-45.84
2024-04-05 11:28:45.050,103500000,8.73,-37.09,-45.81
2024-04-05 11:28:45.159,103500000,8.59,-37.22,-45.8
2024-04-05 11:28:45.269,103500000,8.58,-37.27,-45.85
2024-04-05 11:28:45.376,103500000,8.55,-37.33,-45.88
2024-04-05 11:28:45.485,103500000,8.68,-37.25,-45.93
2024-04-05 11:28:45.594,103500000,9.08,-36.86,-45.94
2024-04-05 11:28:45.716,103500000,9.15,-36.76,-45.92
2024-04-05 11:28:45.824,103500000,8.98,-36.9,-45.88
2024-04-05 11:28:45.934,103500000,8.84,-37.01,-45.84
2024-04-05 11:28:46.042,103500000,8.71,-37.12,-45.83
2024-04-05 11:28:46.150,103500000,8.63,-37.19,-45.82
2024-04-05 11:28:46.262,103500000,8.46,-37.33,-45.79
2024-04-05 11:28:46.369,103500000,8.41,-37.39,-45.8
2024-04-05 11:28:46.476,103500000,8.35,-37.44,-45.79
2024-04-05 11:28:46.586,103500000,8.25,-37.51,-45.76
2024-04-05 11:28:46.696,103500000,8.19,-37.57,-45.76
2024-04-05 11:28:46.804,103500000,8.36,-37.44,-45.8
2024-04-05 11:28:46.912,103500000,8.29,-37.51,-45.8
2024-04-05 11:28:47.020,103500000,8.26,-37.58,-45.84
2024-04-05 11:28:47.129,103500000,8.16,-37.66,-45.82
